33 256,33186,29036
acchariyabbhutacittajāta,acchariyabbhutacittajāt,a adj
acchariyaṃ,ind,
acchati,acch,ati pr
acchecchi,acchecch,i aor
acchejja,acchejj,a adj
acchera,accher,aṃ nt
acchi,acch,i aor
acchidda,acchidd,a adj
acchijja,ind,
acchindāpeti,acchindāp,eti pr
acchindati 1,acchind,ati pr
acchindati 2,acchind,ati pr
acchindi 1,acchind,i aor
acchindi 2,acchind,i aor
acchindīyati,acchindīy,ati pr
acchinna,acchinn,a pp
acchinnacīvara,acchinnacīvar,a adj
acchinnacīvaraka,acchinnacīvarak,a adj
acchodaka 1,acchod,aka adj
acchodaka 2,acchodak,aṃ nt
acci,acc,i f
accī,acc,ī f
accikā,accik,ā f
accimant,accim,ant adj
accita,accit,a pp
accodaka,accodak,aṃ nt
accogāḷha,accogāḷh,a adj
accokkaṭṭha,accokkaṭṭh,a adj
accuggata,accuggat,a adj
accukkaṭṭha,accukkaṭṭh,a adj
accuṇha 1,accuṇh,a adj
accuṇha 2,accuṇh,a m
accussanna,accussann,a adj
accuta 1,accut,a adj
accuta 2,accut,aṃ nt
acela,acel,a adj
acelaka,acelak,a m
ācera,ācer,a m
acetana,acetan,a adj
acetayamāna,acetay,amāna prp
acetayanta,acetay,anta prp
achambhī,chambh,ī adj
achidda,achidd,a adj
ācikkhaka,ācikkhak,a m
ācikkhana,ācikkhan,aṃ nt
ācikkhāpeti,ind,
ācikkhāpetvā,ind,
ācikkhati 1,ācikkh,ati pr
ācikkhati 2,ācikkh,ati pr
ācikkhitabba,ācikkhitabb,a ptp
ācikkhi,ācikkh,i aor
ācikkhita,ācikkhit,a pp
ācikkhitu,ācikkhit,u3 m
ācikkhituṃ,ind,
ācikkhitvā,ind,
ācinanta,ācin,anta prp
ācināti,ācin,āti pr
ācini,ācin,i aor
āciṇṇa,āciṇṇ,a pp
āciṇṇakappa,āciṇṇakapp,a m
acintayi,acintay,i aor
acira,acir,a adj
ācīra,ācīr,aṃ nt
aciraṃ,ind,
acirapabbajita,acirapabbajit,a adj
acirapakkanta,acirapakkant,a adj
acirappabhā,acirappabh,ā f
aciravatī,aciravat,ī f
acirūpasampanna,acirūpasampann,a pp
ācita,ācit,a pp
acittaka,acittak,a adj
ācīyati,ācīy,ati pr
āciyi,āciy,i aor
ada,ad,a adj
adā,ad,ā imperf
āda,ād,aṃ nt
ādā,ind,
adadanta,adad,anta prp
ādadāti,ādad,āti pr
adaḍḍha,daḍḍh,a adj
adadi,adad,i aor
adaka,adak,a adj
adakkhi,adakkh,i aor
adalidda,adalidd,a adj
adaṃsu,irreg,
adana,adan,a m
ādāna 1,ādān,aṃ nt
ādāna 2,ādān,aṃ nt
ādānanikkhepana,ādānanikkhepan,aṃ nt
ādānasatta,ādānasatt,a adj
ādānataṇhā,ādānataṇh,ā f
adaṇḍa,adaṇḍ,a adj
adaṇḍena,ind,
adanta,adant,a adj
adāpetvā,ind,
ādara,ādar,a m
ādāsa,ādās,a m
ādāsatala,ādāsatal,aṃ nt
adāsi,ad,āsi aor
adassana 1,adassan,aṃ nt
adassana 2,adassan,aṃ nt
adassanakāma,adassanakām,a adj
adassāvī,adassāv,ī adj
adassī,irreg,
ādātabba,ādātabb,a ptp
adati,ad,ati pr
ādāti,ād,āti pr
ādātu,ādāt,u3 m
adatvā,ind,
ādāya 1,ind,
ādāya 2,ind,
ādāya 3,ind,
ādāya 4,ind,
ādāya gacchati,ind,
adayāpanna,adayāpann,a adj
ādāyī,ādāy,ī adj
ādāyinī,ādāyin,ī f
adda 2,add,a adj
adda 3,irreg,dis aor
addaka,addak,aṃ nt
addakkhi,addakkh,i aor
addakkhiṃ,irreg,dis aor
addasā,addas,ā imperf
addasa 1,irreg,dis aor
addasa 2,irreg,dis aor
addasaṃ,irreg,dis aor
addasāma,irreg,dis aor
addasāsiṃ,irreg,dis aor
addasuṃ,irreg,dis aor
addha 1,addh,a adj
addha 3,addh,a m
addhā 1,ind,
addhā 2,ind,
addhā 3,addh,ā m
addhā 4,addh,ā m
aḍḍha 1,aḍḍh,a adj
aḍḍha 2,aḍḍh,a adj
addhabhūta,addhabhūt,a adj
aḍḍhadaṇḍaka,aḍḍhadaṇḍak,aṃ nt
addhagata,addhagat,a adj
addhagghanaka,addhagghanak,a adj
addhagū,addhag,ū m
aḍḍhakumbhūpama,aḍḍhakumbhūpam,a adj
aḍḍhāḷhaka,aḍḍhāḷhak,a m
aḍḍhāḷhakodana,aḍḍhāḷhakodan,aṃ nt
addhamāsa,addhamās,a m
aḍḍhamāsa 1,aḍḍhamās,a m
aḍḍhamāsa 2,aḍḍhamās,a m
addhamāsika,addhamāsik,a adj
addhāna 1,addhān,aṃ nt
addhāna 2,addhān,aṃ nt
addhānagamana,addhānagaman,aṃ nt
addhānagamanasamaya,addhānagamanasamay,a m
addhānakkhama,addhānakkham,a adj
addhānamagga,addhānamagg,a m
addhānamaggappaṭipanna,addhānamaggappaṭipann,a adj
addhaniya,addhaniy,a adj
aḍḍhaporisa,aḍḍhaporis,a adj
aḍḍharatta,aḍḍharatt,aṃ nt
aḍḍhatā,aḍḍhat,ā f
aḍḍhateyya,aḍḍhateyy,a adj
aḍḍhateyyamāsa,aḍḍhateyyamās,a m
aḍḍhatiya,aḍḍhatiy,a adj
aḍḍhayoga,aḍḍhayog,a m
addhika,addhik,a m
aḍḍhuḍḍha,aḍḍhuḍḍh,a m
aḍḍhullikhita,aḍḍhullikhit,a adj
addhuno,addh,ā m
addhuva,addhuv,a adj
addhuvato,ind,
addi,add,i m
addita,addit,a pp
addutiya,addutiy,a adj
adduva,adduv,a m
ādesa 1,ādes,a m
ādesa 2,ādes,a m
ādesanā,ādesan,ā f
adesayi,adesay,i aor
adesenta,ades,enta prp
ādeti,ād,eti pr
ādeva,ādev,a m
ādevanā,ādevan,ā f
ādevitatta,ādevitatt,aṃ nt
ādeyya,ādeyy,a adj
adhama,adham,a adj
adhamma 1,adhamm,a m
adhamma 2,adhamm,a m
adhamma 3,adhamm,a m
adhammacārī,adhammacār,ī adj
adhammacariyā,adhammacariy,ā f
adhammavādī,adhammavād,ī m
adhammika 1,adhammik,a adj
adhammika 2,adhammik,a adj
adhana,adhan,a adj
ādhāna 1,ādhān,aṃ nt
ādhāna 2,ādhān,aṃ nt
ādhāna 3,ādhān,aṃ nt
ādhānagāhī,ādhānagāh,ī m
adhara 1,adhar,a m
adhara 2,adhar,a adj
ādhāra 1,ādhār,a m
ādhāra 2,ādhār,a m
ādhāraka,ādhārak,aṃ nt
adharakāya,adharakāy,a m
ādhāvana,ādhāvan,aṃ nt
ādhāvati,ādhāv,ati pr
ādhāvati paridhāvati,ind,
ādhāya,ind,
ādheyya,ādheyy,a adj
adhi 1,ind,
adhi 2,ind,
adhibhavati,adhibhav,ati pr
adhibhavi,adhibhav,i aor
adhibhūta,adhibhūt,a pp
adhicca 1,adhicc,a adj
adhicca 2,ind,
adhiccamidaṃ,ind,
adhiccasamuppanna,adhiccasamuppann,a adj
adhiciṇṇa,adhiciṇṇ,aṃ nt
adhicitta,adhicitt,aṃ nt
adhicittamanuyutta,adhicittamanuyutt,a adj
adhicittasikkhā,adhicittasikkh,ā f
adhigacchati,adhigacch,ati pr
adhigaccheyya,adhigacch,eyya opt
adhigacchi,adhigacch,i aor
adhigacchissa,adhigacch,issa cond
adhigahita,adhigahit,a pp
adhigama,adhigam,a m
adhigamanīya,adhigamanīy,a adj
adhigameti,adhigam,eti pr
adhigamma,ind,
adhigaṇhāti,adhigaṇh,āti pr
adhigaṇhi,adhigaṇh,i aor
adhigata,adhigat,a pp
adhiggaṇhāti,adhiggaṇh,āti pr
adhika 1,adhik,a adj
adhika 2,adhik,a adj
adhikāra 1,adhikār,a m
adhikāra 2,adhikār,a m
adhikāra 3,adhikār,a m
adhikāra 4,adhikār,a m
adhikaraṇa 1,adhikaraṇ,aṃ nt
adhikaraṇa 2,adhikaraṇ,aṃ nt
adhikaraṇa 3,adhikaraṇ,aṃ nt
adhikaraṇa 4,adhikaraṇ,aṃ nt
adhikaraṇaṃ,ind,
adhikaraṇaññabhāgiya,adhikaraṇaññabhāgiy,a adj
adhikaraṇasamatha,adhikaraṇasamath,a m
adhikaraṇī,adhikaraṇ,ī f
adhikaraṇika,adhikaraṇik,a m
adhikārattha,adhikāratth,a m
adhikata,adhikat,a adj
adhikatara,adhikatar,a adj
adhikatarussāha,adhikatarussāh,a m
adhikicca,ind,
adhikoṭṭana,adhikoṭṭan,aṃ nt
adhikumāri,ind,
adhikuṭṭanā,adhikuṭṭan,ā f
adhimāna,adhimān,a m
adhimānika,adhimānik,a adj
adhimatta,adhimatt,a adj
adhimattā,adhimatt,ā f
adhimokkha,adhimokkh,a m
adhimuccana,adhimuccan,aṃ nt
adhimuccati 1,adhimucc,ati pr
adhimuccati 2,adhimucc,ati pr
adhimuccati 3,adhimucc,ati pr
adhimucchita,adhimucchit,a pp
adhimucci,adhimucc,i aor
adhimutta 1,adhimutt,a pp
adhimutta 2,adhimutt,a pp
adhimutti,adhimutt,i f
adhimuttika,adhimuttik,a adj
adhīna,adhīn,a adj
adhipa,adhip,a m
ādhipacca,ādhipacc,aṃ nt
adhipajjati,adhipajj,ati pr
adhipanna,adhipann,a adj
adhipaññā,adhipaññ,ā f
adhipaññāsikkhā,adhipaññāsikkh,ā f
adhipāta,adhipāt,a m
adhipātaka,adhipātak,a m
adhipatana,adhipatan,aṃ nt
adhipāteti,adhipāt,eti pr
adhipateyya,adhipateyy,a adj
ādhipateyya,ādhipateyy,aṃ nt
adhipati,adhipat,i m
adhipātikā,adhipātik,ā f
adhipatitvā,ind,
adhippāya,adhippāy,a m
adhippayāsa,adhippayās,a m
adhippeta,adhippet,a adj
adhirājā,adhi,rājā m
adhirohanī,adhirohan,ī f
adhisayita,adhisayit,a pp
adhisesi,adhis,esi aor
adhiseti,adhis,eti pr
adhisīla,adhisīl,aṃ nt
adhisīlasikkhā,adhisīlasikkh,ā f
adhīta,adhīt,a pp
adhiṭṭhahāna,adhiṭṭhah,āna prp
adhiṭṭhahanta,adhiṭṭhah,anta prp
adhiṭṭhahati 1,adhiṭṭhah,ati pr
adhiṭṭhāti 3,adhiṭṭh,āti pr
adhiṭṭhahitvā,ind,
adhiṭṭhahati 2,adhiṭṭhah,ati pr
adhiṭṭhaha,adhiṭṭhah,ati pr
adhiṭṭhahi,adhiṭṭhah,i aor
adhiṭṭhāna 1,adhiṭṭhān,aṃ nt
adhiṭṭhāna 2,adhiṭṭhān,aṃ nt
adhiṭṭhāna 3,adhiṭṭhān,aṃ nt
adhiṭṭhānābhinivesānusaya,adhiṭṭhānābhinivesānusay,a m
adhiṭṭhāsi 1,adhiṭṭh,āsi aor
adhiṭṭhāsi 2,adhiṭṭh,āsi aor
adhiṭṭhātabba,adhiṭṭhātabb,a ptp
adhiṭṭhāti 1,adhiṭṭh,āti pr
adhiṭṭhāti 2,adhiṭṭh,āti pr
adhiṭṭhāya 1,ind,
adhiṭṭhāya 2,ind,
adhiṭṭhāyaka,adhiṭṭhāyak,a adj
adhitthi,ind,
adhiṭṭhita 1,adhiṭṭhit,a pp
adhiṭṭhita 2,adhiṭṭhit,a pp
adhiṭṭhita 3,adhiṭṭhit,a pp
adhivacana,adhivacan,aṃ nt
adhivacanapatha,adhivacanapath,a m
adhivacanasamphassa,adhivacanasamphass,a m
adhivāha,adhivāh,a adj
adhivāhana,adhivāhan,a adj
adhivāsaka,adhivāsak,a adj
adhivāsanā 1,adhivāsan,ā f
adhivāsanā 2,adhivāsan,ā f
adhivasati,adhivas,ati pr
adhivāsayanta,adhivāsay,anta prp
adhivāsayati,adhivāsay,ati pr
adhivāsesi 1,adhivās,esi aor
adhivāsesi 2,adhivās,esi aor
adhivāseti 1,adhivās,eti pr
adhivāseti 2,adhivās,eti pr
adhivasi,adhivas,i aor
adhivattati,adhivatt,ati pr
adhivattha,adhivatth,a adj
adhivatti,adhivatt,i aor
adhivuttha,adhivutth,a pp
adhīyati,adhīy,ati pr
adhīyi,adhīy,i aor
adho 1,ind,
adho 2,ind,
adhobhāga,adhobhāg,a m
adhogama,adhogam,a adj
adhogāmī 1,adhogām,ī adj
adhogāmī 2,adhogām,ī adj
adhokata,adhokat,a adj
adhomukha,adhomukh,a adj
adhosi,adhos,i aor
adhoṭhita,adhoṭhit,a adj
adhunā,ind,
adhunāgata,adhunāgat,a adj
ādhunāti,ādhun,āti pr
ādhuni,ādhun,i aor
ādhūta,ādhūt,a pp
adhuttī,adhutt,ī f
adhuva,adhuv,a adj
adi,ad,i aor
ādi 1,ād,i adj
ādi 2,ād,i m
ādi 3,ād,iṃ nt
ādibhūta,ādibhūt,a adj
ādibrahmacariyaka,ādibrahmacariyak,a adj
ādibrahmacariyika,ādibrahmacariyik,a adj
ādicca,ādicc,a m
ādiccabandhu,ādiccabandh,u1 m
ādiccapatha,ādiccapath,a m
ādika,ādik,a adj
ādikalyāṇa,ādikalyāṇ,a adj
ādikammika,ādikammik,a m
ādilopa,ādilop,a m
ādiṃ katvā,ind,
ādima,ādim,a adj
ādīnava,ādīnav,a m
ādīnavadassāvī,ādīnavadassāv,ī adj
ādīnavasaññā,ādīnavasaññ,ā f
ādinna,ādinn,a pp
adinna 1,adinn,aṃ nt
adinna 2,adinn,a adj
adinna 3,adinn,a adj
adinnādāna,adinnādān,aṃ nt
adinnādāyī,adinnādāy,ī adj
adinnaṃ ādiyamāna,adinnaṃ ādiy,amāna prp
adinnaṃ ādiyati,adinnaṃ ādiy,ati pr
adinnamādeti,adinnamād,eti pr
ādīpita,ādīpit,a pp
ādisanā,ādisan,ā f
ādisati 1,ādis,ati pr
ādisati 2,ādis,ati pr
ādisi,ādis,i aor
ādissa 1,ind,
ādissa 2,ādiss,a ptp
adissamāna,adissamān,a adj
adisvā,ind,
ādito 1,ind,
ādito 2,ād,iṃ nt
ādito paṭṭhāya,ind,
āditova,ind,
āditta,āditt,a adj
ādittaka,ādittak,a adj
ādittasīsa,ādittasīs,a m
ādittato,ind,
adiṭṭha,adiṭṭh,a adj
adiṭṭhapubba,adiṭṭhapubb,a adj
adiṭṭhi,adiṭṭh,i f
ādivaṇṇa,ādivaṇṇ,a m
ādiya 1,ind,
ādiya 2,ādiy,a adj
ādiyamāna,ādiy,amāna prp
ādiyāna 1,ādiy,āna prp
ādiyāna 2,ādiy,āna prp
ādiyati 1,ādiy,ati pr
ādiyati 2,ādiy,ati pr
ādiye,ādiy,eyya opt
ādiyi,ādiy,i aor
ādiyitvā,ind,
adosa,ados,a m
adu,irreg,amu pron
ādu,ind,
adūbhaka,adūbhak,a adj
adukkha,adukkh,a adj
adukkhamasukha,adukkhamasukh,a adj
adukkhamasukhantipi,ind,
adukkhamasukhavedaniya,adukkhamasukhavedaniy,a adj
aduñhi,ind,
adurāgata,adurāgat,aṃ nt
adutiya,adutiy,a adj
aduṭṭha,aduṭṭh,a adj
aduṭṭhacitta,aduṭṭhacitt,a adj
aduṭṭhulla,aduṭṭhull,a adj
advaya,advay,a adj
advejjha,advejjh,a adj
agā,ag,ā imperf
āga,āg,a m
agacchā,agacch,ā imperf
agacchaṃ,agacch,ā imperf
āgacchanta,āgacch,anta prp
āgacchati 1,āgacch,ati pr
āgacchati 2,āgacch,ati pr
āgacchati 3,āgacch,ati pr
āgacchati 4,āgacch,ati pr
agacchi,agacch,i aor
āgacchi,āgacch,i aor
agacchissā,agacch,issa cond
agada,agad,aṃ nt
agādha,agādh,a adj
agadhita,agadhit,a adj
āgāḷha,āgāḷh,a adj
agalu,agal,u1 m
agamā,agam,ā imperf
āgamā,irreg,
āgama 1,āgam,a m
āgama 2,āgam,a m
āgama 3,āgam,a m
agamaṃ,agam,i aor
āgamaṃ,āgam,i aor
agamaṃsu,agam,āsi aor
āgamana 1,āgaman,aṃ nt
āgamana 2,āgaman,aṃ nt
agamāsi 1,agam,āsi aor
agamāsi 2,agam,āsi aor
āgamaviruddha,āgamaviruddh,a adj
āgamayamāna,āgamayamān,a adj
āgamesi,āgam,esi aor
āgameti 1,āgam,eti pr
agamī,agam,i aor
āgami,āgam,i aor
āgāmī,āgām,ī m
āgāmīkāla,āgāmīkāl,a m
agamimhā,agam,i aor
agamissa,agam,issa cond
agamissā,agam,issa cond
āgamissati,āgam,issati fut
agamittha,agam,i aor
āgamma 1,ind,
āgamma 2,ind,
agamū,agam,ā imperf
agamuṃ,agam,i aor
agandhaka,agandhak,a adj
agaṇhanta,agaṇh,anta prp
āgantu,āgant,u3 m
āgantuka,āgantuk,a m
āgantukabhatta,āgantukabhatt,aṃ nt
āgantukāma,āgantukām,a adj
āgantvā,ind,
agāra 1,agār,aṃ nt
agāra 2,agār,aṃ nt
agāraṃ ajjhāvasati,ind,
agārasmā anagāriyaṃ pabbajati,ind,
agāravāsa,agāravās,a m
agārī,agār,ī m
āgārika,āgārik,a adj
agārika 1,agārik,a m
agārika 2,agārik,a m
agāriya,agāriy,a adj
agāriyabhūta,agāriyabhūt,a adj
agaru 1,agar,u adj
agaru 2,agar,u adj
agaru 3,agar,u1 m
agarukata,agarukat,a adj
agaruṃ karitvā,ind,
agata,agat,a adj
āgata 1,āgat,a m
āgata 2,āgat,aṃ nt
āgata 3,āgat,a pp
āgata 4,āgat,a pp
āgata 5,āgat,a pp
āgatāgama,āgatāgam,a adj
āgatamagga,āgatamagg,a m
āgataphala,āgataphal,a adj
agatapubba,agatapubb,a adj
āgatasamaṇa,āgatasamaṇ,a m
agati,agat,i f
āgati,āgat,i f
āgatigati,āgatigat,i f
āgatosi,ind,
agga 1,agg,a adj
agga 2,agg,a adj
agga 3,agg,a m
agga 4,agg,aṃ nt
agga 5,agg,aṃ nt
aggabīja,aggabīj,aṃ nt
aggahesi 1,aggah,esi aor
aggahesi 2,aggah,esi aor
aggahi,aggah,i aor
aggala,aggal,aṃ nt
aggaḷā,aggaḷ,ā f
aggaḷaṭṭhapana,aggaḷaṭṭhapan,aṃ nt
dvāraṭṭhapana,dvāraṭṭhapan,aṃ nt
aggamagga,aggamagg,a m
aggamahesī,aggamahes,ī f
aggamakkhāyati,aggamakkhāy,ati pr
agganakha,agganakh,a m
aggaṇhanta,aggaṇh,anta prp
aggañña,aggaññ,a adj
aggapada,aggapad,aṃ nt
aggaphala,aggaphal,aṃ nt
aggasākhā,aggasākh,ā f
aggaseṭṭhi,aggaseṭṭh,i m
aggatā,aggat,ā f
aggatta,aggatt,aṃ nt
aggavādī,aggavād,ī m
aggha 1,aggh,a m
aggha 2,aggh,aṃ nt
agghaka,agghak,a adj
agghakāraka,agghakārak,a m
agghanaka,agghan,aka adj
agghāpana,agghāpan,aṃ nt
agghāpanaka,agghāpanak,a m
agghāpaniya,agghāpaniy,aṃ nt
agghati 1,aggh,ati pr
agghati 2,aggh,ati pr
agghi,aggh,i aor
agghika,agghik,aṃ nt
agghiya 1,agghiy,a adj
agghiya 2,agghiy,aṃ nt
agghīyati,agghīy,ati pr
aggi,agg,i m
aggidaḍḍha,aggidaḍḍh,a adj
aggihutta,aggihutt,aṃ nt
aggika,aggik,a m
aggikkhandha,aggikkhandh,a m
aggiṃ paricarati,ind,
agginā,agg,i m
aggiparicaraṇa,aggiparicaraṇ,aṃ nt
aggiparicārika,aggiparicārik,a m
aggisālā,aggisāl,ā f
aggisikhā 1,aggisikh,ā f
aggisikhā 2,aggisikh,ā f
aggisikhūpama,aggisikhūpam,a adj
agha 1,agh,a m
agha 2,agh,aṃ nt
agha 3,agh,aṃ nt
aghagata,aghagat,a adj
āghāta 1,āghāt,a m
āghāta 2,āghāt,a m
āghātana 1,āghātan,aṃ nt
āghātana 2,āghātan,aṃ nt
āghātananissita,āghātananissit,a adj
āghātapaṭivinaya,āghātapaṭivinay,a m
aghato,ind,
aghāyita,aghāyit,a adj
aghāyitapubba,aghāyitapubb,a adj
aghosa,aghos,a adj
agiddha,agiddh,a adj
agilāna,agilān,a adj
āgilāyati,āgilāy,ati pr
āgilāyi,āgilāy,i aor
agocara,agocar,a m
āgu,āg,uṃ nt
āgucārī,āgucār,ī m
āguṃ karoti,āguṃ kar,oti pr
agutta,agutt,a adj
aguttadvāra,aguttadvār,a adj
aha,ah,aṃ nt
āha,irreg,āh perf
ahacca,ahacc,a adj
āhacca 1,ind,
āhacca 2,āhacc,a adj
āhaccapādaka,āhaccapādak,a adj
ahaha 1,ind,
ahaha 2,ahah,a m
ahaha 3,ahah,aṃ nt
ahaṃ,irreg,ahaṃ pron
ahaṃ tesaṃ aññataro,ind,
ahamasmi,ind,
ahameva,ind,
ahaṃkāra,ahaṃkār,a m
ahaṃkāramamaṃkāramānānusaya,ahaṃkāramamaṃkāramānānusay,a m
ahampāyasmante,ind,
ahampi,ind,
āhaṃsu,irreg,āh perf
āhanana,āhanan,aṃ nt
āhanati,āhan,ati pr
ahañca,ind,
ahañce,ind,
ahañceva,ind,
ahañhi,ind,
āhani,āhan,i aor
ahaṅkāra,ahaṅkār,a m
ahaṅkāramamaṅkāramānānusaya,ahaṅkāramamaṅkāramānānusay,a m
ahaññeveko,ind,
ahanti,ind,
āhara,āhar,a adj
āhāra,āhār,a m
āhārakkhaya,āhārakkhay,a m
āhāraṃ āharati,āhāraṃ āhar,ati pr
āhāraṃ āhāreti,āhāraṃ āhār,eti pr
āharamāna,āhar,amāna prp
āharaṇa,āharaṇ,aṃ nt
āhāraṇa,āhāraṇ,aṃ nt
āhāranirodha,āhāranirodh,a m
āhārapaccayā,ind,
āharāpeti,āharāp,eti pr
āharāpetvā,ind,
āhārasambhava,āhārasambhav,a adj
āhārasambhūta,āhārasambhūt,a adj
āhārasamudaya,āhārasamuday,a m
āharati 1,āhar,ati pr
āharati 2,āhar,ati pr
āharati 3,āhar,ati pr
āhāraṭṭhika,āhāraṭṭhik,a adj
āhāre paṭikūlasaññā,āhāre paṭikūlasaññ,ā f
āharesi,āhar,esi aor
āhāresi,āhār,esi aor
āhāreti,āhār,eti pr
āhari 1,ā,har aor
āharita,āharit,a pp
āharitabba,āharitabb,a ptp
āharitvā,ind,
ahāriya,ahāriy,a adj
ahāsi 1,a,har aor
ahāsi 2,a,har aor
ahata,ahat,a adj
āhaṭa,āhaṭ,a pp
āhata 1,āhat,a pp
āhata 2,āhat,a pp
āhatacitta,āhatacitt,a adj
ahāyi,ahāy,i aor
ahe,ind,
ahesuṃ,irreg,hū aor
aheṭhayāna,aheṭhay,āna prp
aheṭhayanta,aheṭhay,anta prp
ahetu,ahet,u adj
ahetuka,ahetuk,a adj
ahetukavāda,ahetukavād,a m
ahetuvāda,ahetuvād,a m
ahi,ah,i m
ahicchattaka,ahicchattak,a m
ahiguṇṭhika,ahiguṇṭhik,a m
ahiṃsā,ahiṃs,ā f
ahiṃsaka,ahiṃsak,a adj
āhiṇḍati,āhiṇḍ,ati pr
āhiṇḍi,āhiṇḍ,i aor
āhiṇḍitvā,ind,
ahīnindriya,ahīnindriy,a adj
ahipheṇa,ahipheṇ,aṃ nt
ahirika 1,ahirik,a adj
ahirika 3,ahirik,aṃ nt
ahirikkatā,ahirikkat,ā f
ahita 1,ahit,a adj
ahita 2,ahit,a m
ahita 3,ahit,aṃ nt
āhita 1,āhit,a pp
āhita 2,āhit,a pp
ahitakāma,ahitakām,a adj
ahitānukampī,ahitānukamp,ī adj
ahitāya,ahit,aṃ nt
ahituṇḍika,ahituṇḍik,a m
ahivātakaroga,ahivātakarog,a m
ahivicchikā,ahivicchik,a m
aho 1,ah,aṃ nt
aho 2,ind,
aho 3,ind,
aho dukkhaṃ,ind,
aho nūna,ind,
aho vata,ind,
aho vata re,ind,
ahoratta,ahoratt,aṃ nt
ahorattānusikkhī,ahorattānusikkh,ī m
ahorattiṃ,ind,
ahosi,irreg,hū aor
ahosikamma,ahosikamm,aṃ nt
ahosiṃ,irreg,hū aor
āhu,irreg,āh perf
ahu 1,irreg,hū aor
ahu 2,irreg,hū aor
ahugaliya,ahugaliy,aṃ nt
ahuhāsiya,ahuhāsiy,aṃ nt
āhuṇa,āhuṇ,aṃ nt
āhundarika,āhundarik,a adj
āhuneyya,āhuneyy,a adj
āhuṇeyya,āhuṇeyy,a adj
āhuti,āhut,i f
ahuvā,ahuv,ā imperf
ahuvattha,irreg,hū aor
aja,aj,a m
ajā,aj,ā f
ajaddhuka,ajaddhuk,aṃ nt
ajaddhumārikā,ajaddhumārik,ā f
ajagara,ajagar,a m
ajajjita,ajajjit,aṃ nt
ajaḷa,ajaḷ,a adj
ajalaṇḍikā,ajalaṇḍik,ā f
ajāna,ajān,a adj
ajānaṃ,ajān,anta prp
ajānamāna,ajān,amāna prp
ājānamāna,ājān,amāna prp
ajānamevaṃ,ind,
ajānana,ajānan,aṃ nt
ājānana,ājānan,aṃ nt
ajānanta,ajān,anta prp
ājānanta,ājān,anta prp
ājānāti 1,ājān,āti pr
ājānāti 2,ājān,āti pr
ājāni,ājān,i aor
ājānituṃ,ind,
ajānitvā,ind,
ajāniya,ind,
ājāniya,ājāniy,a adj
ājānīya,ājānīy,a adj
ājānīyajhāyita,ājānīyajhāyit,aṃ nt
ajañña,ajaññ,a adj
ājañña,ājaññ,a adj
ājaññaratha,ājaññarath,a m
ajapada,ajapad,a adj
ajapāla,ajapāl,a m
ajarāmara,ajarāmar,a adj
ajāta 1,ajāt,a adj
ajāta 2,ajāt,a adj
ajātasattu,ajātasatt,u1 m
ajāti,a,jāti f
ājava,ājav,aṃ nt
ajāyamāna,ajāy,amāna prp
ajeguccha,ajegucch,a adj
ajeḷaka,ajeḷak,aṃ nt
ajeḷakā,ajeḷak,a m
ajeḷakapaṭiggahaṇa,ajeḷakapaṭiggahaṇ,aṃ nt
ajesi,aj,esi aor
ajeyya,ajeyy,a adj
ajhāyanta,ajhāy,anta prp
ajī,aj,ī f
ajikā,ajik,ā f
ajikāsappi,ajikāsapp,iṃ nt
ajimha,ajimh,a adj
ajina 1,ajin,a m
ajina 2,ajin,aṃ nt
ajinakkhipa,ajinakkhip,a m
ajinapattā,ajinapatt,ā f
ajinappaveṇī,ajinappaveṇ,ī f
ajinasāṭi,ajinasāṭ,i f
ajinayoni,ajinayon,i f
ajini,ajin,i aor
ajira,ajir,aṃ nt
ajīraka,ajīrak,aṃ nt
ājīva,ājīv,a m
ājīvahetu,ind,
ājīvaka,ājīvak,a m
ājīvika,ājīvik,a m
ajīyamāna,ajīy,amāna prp
ajja,ind,
ajjācāra,ajjācār,a m
ajjaṇho,ind,
ajjappabhuti,ind,
ajjatagge,ind,
ajjatana,ajjatan,a adj
ajjatanī,ajjatan,ī f
ajjatanīvibhatti,ajjatanīvibhatt,i f
ajjava,ajjav,a m
ajjhā,ind,
ajjhabhāsati,ajjhabhās,ati pr
ajjhabhāsi,ajjhabh,āsi aor
ajjhācāra,ajjhācār,a m
ajjhācarati,ajjhācar,ati pr
ajjhācari,ajjhācar,i aor
ajjhāciṇṇa 1,ajjhāciṇṇ,a pp
ajjhāciṇṇa 2,ajjhāciṇṇ,a pp
ajjhagā,ajjhag,ā imperf
ajjhagamā,ajjhagam,ā imperf
ajjhāgāre,ind,
ajjhāpana,ajjhāpan,aṃ nt
ajjhāpanna 1,ajjhāpann,a pp
ajjhāpanna 2,ajjhāpann,a pp
ajjhappatta,ajjhappatt,a pp
ajjhārāma,ajjhārām,a m
ajjhāruha,ajjhāruh,a adj
ajjhāruhati,ajjhāruh,ati pr
ajjhāruhi,ajjhāruh,i aor
ajjhārūḷha,ajjhārūḷh,a pp
ajjhāsaya,ajjhāsay,a m
ajjhāsayatā,ajjhāsayat,ā f
ajjhatta,ajjhatt,a adj
ajjhattabahiddhā,ind,
ajjhattaṃ,ind,
ajjhattañca,ind,
ajjhattarata,ajjhattarat,a adj
ajjhattika,ajjhattik,a adj
